Experiment	GeneId	Symbol	Control_transcript	Case_transcript	CDS_control	CDS_case	CDS_change	UTR_change	Samples	Driver	num_samples	Pfam_change	Prosite_change	Functional	p_recurrent
AML	ENSG00000136937.12	NCBP1	ENST00000375147.7	ENST00000629069.1	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PALGKX-04,TARGET-20-PAMYAS-04,TARGET-20-PASJGZ-04	No	4	TRUE	FALSE	Yes	0.2372378134479852
AML	ENSG00000136891.13	TEX10	ENST00000374902.8	ENST00000535814.5	1	1	1	1	TARGET-20-PADZCG-04,TARGET-20-PAKERZ-04,TARGET-20-PARBIU-04,TARGET-20-PATDNN-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000136870.10	ZNF189	ENST00000374861.7	ENST00000339664.6	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PADZCG-04,TARGET-20-PAKIWK-04,TARGET-20-PASHYZ-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000119318.12	RAD23B	ENST00000358015.7	ENST00000416373.6	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAEDKB-04,TARGET-20-PASBBE-04,TARGET-20-PATDNN-04	No	4	TRUE	FALSE	Yes	0.2372378134479852
AML	ENSG00000197958.12	RPL12	ENST00000361436.9	ENST00000536368.1	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAEDKB-04,TARGET-20-PASCRZ-04,TARGET-20-PASJGZ-04	Driver interactor	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000228651.1	RP11-556E13.1	ENST00000443523.1	ENST00000448017.1	0	0	0	1	TARGET-20-PADZCG-04,TARGET-20-PALGKX-04,TARGET-20-PARBIU-04,TARGET-20-PASWAJ-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000150347.14	ARID5B	ENST00000309334.5	ENST00000279873.11	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PARLVL-04,TARGET-20-PATDNN-04	Driver	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000122877.13	EGR2	ENST00000242480.3	ENST00000411732.2	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PARDDY-04,TARGET-20-PARLVL-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000197746.13	PSAP	ENST00000394936.7	ENST00000610929.3	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PARLVL-04,TARGET-20-PATDNN-04	No	4	TRUE	FALSE	Yes	0.2372378134479852
AML	ENSG00000035403.16	VCL	ENST00000211998.8	ENST00000372755.7	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAEDKB-04,TARGET-20-PAKTCX-04,TARGET-20-PATDNN-04	No	4	TRUE	FALSE	Yes	0.2372378134479852
AML	ENSG00000107798.17	LIPA	ENST00000336233.9	ENST00000371837.5	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PARLVL-04,TARGET-20-PATDNN-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000133812.14	SBF2	ENST00000256190.12	ENST00000617179.4	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PAMYAS-04,TARGET-20-PARLVL-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000023697.12	DERA	ENST00000428559.6	ENST00000526530.1	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PARLVL-04,TARGET-20-PASCRZ-04,TARGET-20-PATDNN-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000089157.15	RPLP0	ENST00000392514.8	ENST00000313104.9	1	1	1	1	TARGET-20-PAKIWK-04,TARGET-20-PANLIZ-04,TARGET-20-PASJGZ-04,TARGET-20-PASPLU-04	Driver interactor	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000110987.8	BCL7A	ENST00000261822.4	ENST00000538010.5	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PARLVL-04,TARGET-20-PATDNN-04	Driver interactor	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000150459.12	SAP18	ENST00000382533.8	ENST00000621421.4	1	1	0	1	TARGET-20-PARFAL-04,TARGET-20-PARYVW-04,TARGET-20-PATDNN-04,TARGET-20-PATIAK-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000100911.13	PSME2	ENST00000615264.4	ENST00000560410.5	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAEDKB-04,TARGET-20-PASCRZ-04,TARGET-20-PATDNN-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000213614.9	HEXA	ENST00000567159.5	ENST00000566304.5	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PATDNN-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000179335.18	CLK3	ENST00000345005.8	ENST00000395066.7	1	1	1	1	TARGET-20-PAKTCX-04,TARGET-20-PARYFN-04,TARGET-20-PASGWH-04,TARGET-20-PATDNN-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000187535.13	IFT140	ENST00000426508.6	ENST00000361339.9	1	1	1	1	TARGET-20-PAKTCX-04,TARGET-20-PALGKX-04,TARGET-20-PARLVL-04,TARGET-20-PATDNN-04	No	4	TRUE	FALSE	Yes	0.2372378134479852
AML	ENSG00000162076.12	FLYWCH2	ENST00000396958.7	ENST00000293981.10	1	1	0	1	TARGET-20-PADZCG-04,TARGET-20-PARLVL-04,TARGET-20-PASMYS-04,TARGET-20-PATDNN-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000140750.16	ARHGAP17	ENST00000303665.9	ENST00000289968.10	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKIWK-04,TARGET-20-PAKTCX-04,TARGET-20-PASGWH-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000167394.12	ZNF668	ENST00000300849.4	ENST00000535577.5	1	1	0	1	TARGET-20-PABLDZ-04,TARGET-20-PARLVL-04,TARGET-20-PATDNN-04	Driver interactor	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000167515.10	TRAPPC2L	ENST00000625770.2	ENST00000567312.5	1	1	1	1	TARGET-20-PADZCG-04,TARGET-20-PAEDKB-04,TARGET-20-PASCRZ-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000197912.13	SPG7	ENST00000268704.6	ENST00000341316.6	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAEDKB-04,TARGET-20-PARDDY-04,TARGET-20-PATDNN-04	No	4	TRUE	FALSE	Yes	0.2372378134479852
AML	ENSG00000270647.5	TAF15	ENST00000605844.5	ENST00000604841.5	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PARYFN-04,TARGET-20-PASBBE-04,TARGET-20-PASJGZ-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000167258.13	CDK12	ENST00000430627.6	ENST00000447079.4	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PARLVL-04,TARGET-20-PATDNN-04	Driver	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000005379.15	BZRAP1	ENST00000268893.10	ENST00000343736.8	1	1	1	1	TARGET-20-PAMYAS-04,TARGET-20-PARCVS-04,TARGET-20-PARYFN-04,TARGET-20-PASGWH-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000198231.12	DDX42	ENST00000389924.6	ENST00000457800.3	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAEDKB-04,TARGET-20-PARLVL-04,TARGET-20-PATDNN-04	Driver interactor	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000204323.5	SMIM5	ENST00000375215.3	ENST00000537494.1	1	1	0	1	TARGET-20-PAEDKB-04,TARGET-20-PALGKX-04,TARGET-20-PASHYZ-04,TARGET-20-PASPLU-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000064666.14	CNN2	ENST00000263097.8	ENST00000348419.7	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PARLVL-04,TARGET-20-PATDNN-04	No	3	FALSE	TRUE	Yes	0.45309753864995794
AML	ENSG00000205744.9	DENND1C	ENST00000381480.6	ENST00000543576.5	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PADZCG-04,TARGET-20-PASGWH-04,TARGET-20-PASPLU-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000105520.10	LPPR2	ENST00000251473.9	ENST00000591608.1	1	1	1	1	TARGET-20-PAMYAS-04,TARGET-20-PARCZL-04,TARGET-20-PASBBE-04,TARGET-20-PATDNN-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000179115.10	FARSA	ENST00000314606.8	ENST00000423140.6	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAEDKB-04,TARGET-20-PASCRZ-04,TARGET-20-PASMYS-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000104907.12	TRMT1	ENST00000357720.8	ENST00000221504.12	1	1	1	1	TARGET-20-PADZCG-04,TARGET-20-PAKIWK-04,TARGET-20-PAKTCX-04,TARGET-20-PASGZS-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000221983.7	UBA52	ENST00000430157.6	ENST00000597451.5	1	1	0	1	TARGET-20-PARLVL-04,TARGET-20-PATDNN-04,TARGET-20-PATIAK-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000105193.8	RPS16	ENST00000251453.7	ENST00000601655.5	1	1	1	1	TARGET-20-PAKTCX-04,TARGET-20-PARLVL-04,TARGET-20-PARYFN-04	Driver interactor	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000178980.14	SEPW1	ENST00000601048.5	ENST00000593892.5	1	1	0	1	TARGET-20-PALGKX-04,TARGET-20-PAPXRJ-04,TARGET-20-PARDDY-04,TARGET-20-PASCRZ-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000268849.5	SIGLEC22P	ENST00000599104.1	ENST00000602065.5	0	0	0	1	TARGET-20-PADZCG-04,TARGET-20-PAMYAS-04,TARGET-20-PARUNX-04,TARGET-20-PASJGZ-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000125503.12	PPP1R12C	ENST00000263433.7	ENST00000435544.6	1	1	1	1	TARGET-20-PAKTCX-04,TARGET-20-PARYFN-04,TARGET-20-PASXNR-04,TARGET-20-PASYJI-04	Driver interactor	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000088766.11	CRLS1	ENST00000378868.4	ENST00000378863.8	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PADZCG-04,TARGET-20-PAEDKB-04,TARGET-20-PARDDY-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000183527.11	PSMG1	ENST00000380900.2	ENST00000331573.7	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAEDKB-04,TARGET-20-PAKTCX-04,TARGET-20-PATDNN-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000099992.15	TBC1D10A	ENST00000215790.11	ENST00000403362.5	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PASHYZ-04,TARGET-20-PATDNN-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000100243.20	CYB5R3	ENST00000352397.9	ENST00000407332.5	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PATDNN-04	Driver interactor	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000185291.10	IL3RA	ENST00000331035.8	ENST00000381469.6	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PARDDY-04,TARGET-20-PASCRZ-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000126756.11	UXT	ENST00000333119.7	ENST00000335890.2	1	1	1	1	TARGET-20-PAKERZ-04,TARGET-20-PARLVL-04,TARGET-20-PARYVW-04,TARGET-20-PATIAK-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000012211.12	PRICKLE3	ENST00000599218.5	ENST00000453382.5	1	1	1	1	TARGET-20-PAEERJ-04,TARGET-20-PARDDY-04,TARGET-20-PASCRZ-04,TARGET-20-PASJGZ-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000089289.15	IGBP1	ENST00000356413.4	ENST00000342206.10	1	1	0	1	TARGET-20-PADZCG-04,TARGET-20-PAKERZ-04,TARGET-20-PASGZS-04,TARGET-20-PASTUH-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000188706.12	ZDHHC9	ENST00000371064.7	ENST00000357166.10	1	1	0	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PARLVL-04,TARGET-20-PATDNN-04	No	4	FALSE	FALSE	No	0.2372378134479852
AML	ENSG00000160075.11	SSU72	ENST00000291386.3	ENST00000359060.5	1	1	1	1	TARGET-20-PADZCG-04,TARGET-20-PASCRZ-04,TARGET-20-PASWAJ-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000157870.14	FAM213B	ENST00000419916.6	ENST00000378425.9	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PALGKX-04,TARGET-20-PASCRZ-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000116809.11	ZBTB17	ENST00000375743.8	ENST00000537142.5	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PATDNN-04	No	3	TRUE	FALSE	Yes	0.45309753864995794
AML	ENSG00000116544.11	DLGAP3	ENST00000235180.4	ENST00000373347.5	1	1	0	1	TARGET-20-PAKERZ-04,TARGET-20-PAKIWK-04,TARGET-20-PAPXRJ-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000084072.16	PPIE	ENST00000324379.9	ENST00000356511.6	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAEDKB-04,TARGET-20-PASCRZ-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000168389.17	MFSD2A	ENST00000372811.9	ENST00000420632.6	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PARLVL-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000132768.13	DPH2	ENST00000255108.7	ENST00000396758.6	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PARLVL-04,TARGET-20-PATDNN-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000117419.14	ERI3	ENST00000372257.6	ENST00000372259.9	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PADZCG-04,TARGET-20-PATDNN-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000142937.11	RPS8	ENST00000396651.7	ENST00000372209.3	1	1	1	1	TARGET-20-PASCRZ-04,TARGET-20-PASPLU-04,TARGET-20-PATDNN-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000230812.5	LINC01358	ENST00000447329.5	ENST00000438195.5	0	0	0	1	TARGET-20-PAEIKD-04,TARGET-20-PALGKX-04,TARGET-20-PASJGZ-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000154027.18	AK5	ENST00000354567.6	ENST00000478255.1	1	1	1	1	TARGET-20-PAEERJ-04,TARGET-20-PARDDY-04,TARGET-20-PASJGZ-04	No	3	TRUE	TRUE	Yes	0.45309753864995794
AML	ENSG00000143093.14	STRIP1	ENST00000369795.7	ENST00000369796.5	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PATDNN-04	Driver interactor	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000163399.15	ATP1A1	ENST00000295598.9	ENST00000369496.8	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PASMYS-04,TARGET-20-PATDNN-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000143418.19	CERS2	ENST00000368954.9	ENST00000561294.5	1	1	1	1	TARGET-20-PAEDKB-04,TARGET-20-PASCRZ-04,TARGET-20-PASPLU-04	Driver	3	TRUE	FALSE	Yes	0.45309753864995794
AML	ENSG00000158887.15	MPZ	ENST00000491222.5	ENST00000533357.4	1	1	1	1	TARGET-20-PARCVS-04,TARGET-20-PARYFN-04,TARGET-20-PASYJI-04	No	3	TRUE	FALSE	Yes	0.45309753864995794
AML	ENSG00000143158.10	MPC2	ENST00000271373.8	ENST00000367846.8	1	1	0	1	TARGET-20-PARDDY-04,TARGET-20-PASJGZ-04,TARGET-20-PASTUH-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000117153.15	KLHL12	ENST00000367261.7	ENST00000367259.1	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PATDNN-04	No	3	TRUE	FALSE	Yes	0.45309753864995794
AML	ENSG00000171163.15	ZNF692	ENST00000306601.8	ENST00000451251.5	1	1	1	1	TARGET-20-PAEDKB-04,TARGET-20-PASJGZ-04,TARGET-20-PASWAJ-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000115944.14	COX7A2L	ENST00000234301.2	ENST00000378669.5	1	1	0	1	TARGET-20-PABLDZ-04,TARGET-20-PAEDKB-04,TARGET-20-PATDNN-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000171150.7	SOCS5	ENST00000394861.2	ENST00000306503.5	1	1	0	1	TARGET-20-PABLDZ-04,TARGET-20-PARCZL-04,TARGET-20-PATDNN-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000170340.10	B3GNT2	ENST00000301998.4	ENST00000405767.1	1	1	0	1	TARGET-20-PAEERJ-04,TARGET-20-PARFAL-04,TARGET-20-PASPLU-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000115998.7	C2orf42	ENST00000420306.1	ENST00000264434.6	1	1	0	1	TARGET-20-PADZCG-04,TARGET-20-PAKTCX-04,TARGET-20-PARUNX-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000159399.9	HK2	ENST00000290573.6	ENST00000409174.1	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PARBIU-04,TARGET-20-PATDNN-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000125633.10	CCDC93	ENST00000376300.6	ENST00000319432.9	1	1	1	0	TARGET-20-PAKTCX-04,TARGET-20-PARUNX-04,TARGET-20-PATDNN-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000170396.7	ZNF804A	ENST00000302277.6	ENST00000613975.1	1	1	1	1	TARGET-20-PARBIU-04,TARGET-20-PARLVL-04,TARGET-20-PASHYZ-04	No	3	TRUE	TRUE	Yes	0.45309753864995794
AML	ENSG00000114942.13	EEF1B2	ENST00000392221.5	ENST00000236957.9	1	1	0	1	TARGET-20-PARFAL-04,TARGET-20-PASCGR-04,TARGET-20-PATDNN-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000115457.9	IGFBP2	ENST00000233809.8	ENST00000456764.1	1	1	1	1	TARGET-20-PAKIWK-04,TARGET-20-PANLIZ-04,TARGET-20-PASCGR-04	Driver interactor	3	TRUE	TRUE	Yes	0.45309753864995794
AML	ENSG00000123983.13	ACSL3	ENST00000392066.7	ENST00000357430.7	1	1	0	1	TARGET-20-PAKERZ-04,TARGET-20-PASCGR-04,TARGET-20-PASGWH-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000168385.17	SEPT2	ENST00000391971.6	ENST00000407971.5	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAEDKB-04,TARGET-20-PASCRZ-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000186162.10	CIDECP	ENST00000424691.1	ENST00000433871.5	0	0	0	1	TARGET-20-PAKTCX-04,TARGET-20-PARDDY-04,TARGET-20-PATDNN-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000131378.13	RFTN1	ENST00000334133.8	ENST00000432519.5	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PARBIU-04,TARGET-20-PATDNN-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000211456.10	SACM1L	ENST00000389061.9	ENST00000418611.5	1	1	1	1	TARGET-20-PALGKX-04,TARGET-20-PANLIZ-04,TARGET-20-PARDDY-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000206530.8	CFAP44	ENST00000295868.6	ENST00000393845.6	1	1	1	1	TARGET-20-PAKTCX-04,TARGET-20-PARCZL-04,TARGET-20-PASCGR-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000177311.10	ZBTB38	ENST00000514251.5	ENST00000321464.6	1	1	0	1	TARGET-20-PAPXRJ-04,TARGET-20-PARDDY-04,TARGET-20-PASHYZ-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000145012.12	LPP	ENST00000617246.4	ENST00000618621.4	1	1	1	1	TARGET-20-PASCRZ-04,TARGET-20-PASHYZ-04,TARGET-20-PASTUH-04	Driver interactor	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000125386.14	FAM193A	ENST00000382839.7	ENST00000324666.9	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PARDDY-04,TARGET-20-PATDNN-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000163682.15	RPL9	ENST00000295955.13	ENST00000449470.6	1	1	0	1	TARGET-20-PAMYAS-04,TARGET-20-PARFAL-04,TARGET-20-PASCGR-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000226950.6	DANCR	ENST00000411630.6	ENST00000444958.1	0	0	0	1	TARGET-20-PARBIU-04,TARGET-20-PARCVS-04,TARGET-20-PARLVL-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000145354.9	CISD2	ENST00000503643.1	ENST00000273986.8	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PARYFN-04,TARGET-20-PASHYZ-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000196656.7	AC004057.1	ENST00000485827.1	ENST00000356247.4	0	0	0	1	TARGET-20-PAEERJ-04,TARGET-20-PARLVL-04,TARGET-20-PATIAK-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000145592.13	RPL37	ENST00000508493.1	ENST00000509877.5	1	1	1	1	TARGET-20-PAKTCX-04,TARGET-20-PARBIU-04,TARGET-20-PASYJI-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000226259.10	GTF2H2B	ENST00000508065.7	ENST00000513202.5	0	0	0	1	TARGET-20-PABLDZ-04,TARGET-20-PAEDKB-04,TARGET-20-PASYJI-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000145741.15	BTF3	ENST00000335895.12	ENST00000380591.7	1	1	1	1	TARGET-20-PAEDKB-04,TARGET-20-PARYVW-04,TARGET-20-PASJGZ-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000189298.13	ZKSCAN3	ENST00000252211.6	ENST00000377255.3	1	1	0	1	TARGET-20-PARTAL-04,TARGET-20-PASWAJ-04,TARGET-20-PASYJI-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000240065.7	PSMB9	ENST00000374859.2	ENST00000395330.5	1	1	1	1	TARGET-20-PASINN-04,TARGET-20-PASVYA-04,TARGET-20-PASWAJ-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000231500.6	RPS18	ENST00000439602.6	ENST00000474973.5	1	1	1	1	TARGET-20-PARLVL-04,TARGET-20-PATDNN-04,TARGET-20-PATIAK-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000184106.8	TREML3P	ENST00000564680.5	ENST00000457327.2	0	0	0	1	TARGET-20-PARCZL-04,TARGET-20-PARDDY-04,TARGET-20-PARLVL-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000231113.2	RP3-475N16.1	ENST00000450671.1	ENST00000607218.1	0	0	0	1	TARGET-20-PAKTCX-04,TARGET-20-PARDDY-04,TARGET-20-PASHYZ-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000164494.11	PDSS2	ENST00000369031.4	ENST00000369037.8	1	1	1	1	TARGET-20-PAKERZ-04,TARGET-20-PARBIU-04,TARGET-20-PARLVL-04	Driver	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000049618.21	ARID1B	ENST00000350026.9	ENST00000346085.9	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PARLVL-04,TARGET-20-PATDNN-04	Driver	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000120438.11	TCP1	ENST00000392168.6	ENST00000544255.5	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PATDNN-04	Driver interactor	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000011275.18	RNF216	ENST00000389902.7	ENST00000425013.6	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PARBIU-04,TARGET-20-PATDNN-04	Driver interactor	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000122566.20	HNRNPA2B1	ENST00000356674.7	ENST00000354667.8	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAEDKB-04,TARGET-20-PASCRZ-04	Driver interactor	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000205763.13	RP9P	ENST00000381639.3	ENST00000450133.5	0	0	0	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PAMYAS-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000136250.11	AOAH	ENST00000617537.4	ENST00000612871.4	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PARLVL-04,TARGET-20-PATDNN-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000146729.9	GBAS	ENST00000322090.7	ENST00000446778.5	1	1	1	0	TARGET-20-PABLDZ-04,TARGET-20-PAEFGT-04,TARGET-20-PATDNN-04	Driver interactor	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000169919.16	GUSB	ENST00000304895.8	ENST00000421103.5	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PATDNN-04	No	3	TRUE	FALSE	Yes	0.45309753864995794
AML	ENSG00000004864.13	SLC25A13	ENST00000265631.9	ENST00000416240.6	1	1	1	1	TARGET-20-PAKERZ-04,TARGET-20-PAKTCX-04,TARGET-20-PASINN-04	Driver	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000164713.9	BRI3	ENST00000297290.3	ENST00000539286.5	1	1	1	1	TARGET-20-PARLVL-04,TARGET-20-PASHYZ-04,TARGET-20-PASVVS-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000130429.12	ARPC1B	ENST00000252725.9	ENST00000451682.5	1	1	0	1	TARGET-20-PADZCG-04,TARGET-20-PAEDKB-04,TARGET-20-PASJGZ-04	No	3	FALSE	FALSE	No	0.45309753864995794
AML	ENSG00000005075.15	POLR2J	ENST00000292614.9	ENST00000393794.4	1	1	1	1	TARGET-20-PASCRZ-04,TARGET-20-PASINN-04,TARGET-20-PASYJI-04	No	3	FALSE	FALSE	No	0.45309753864995794
